id,isPaid,createdAt,updatedAt,buyOrder,userId,coursesIds
92157d3d-ac83-4abf-9302-f0cfde5e6a6c,f,2024-08-08 02:11:16.067+00,2024-08-08 02:11:16.067+00,92f5fcc445b86dd6ca025670f8,b717ae66-ddda-43a6-98f9-42f0ed4fd860,"{57e069f8-7059-4d2f-83d6-3f16f7aa0938,880369a6-6b14-4a6b-b3cb-4aaabc33369a,f5fb2002-9ed8-4520-99ef-46df7e453375}"
5070e3ce-6d67-460b-aee0-a7ab520aae15,t,2024-08-08 02:10:12.959+00,2024-08-08 02:12:47.786+00,95e73ab6243eb6750d3404d57a,834e6fa6-fd28-408a-bfb7-f18cd4dae8ad,"{be766134-111b-4a83-afdd-d6c54596d486,880369a6-6b14-4a6b-b3cb-4aaabc33369a}"
5f17c3a8-7560-4cb5-831c-dfc695735fa7,t,2024-08-08 02:12:05.076+00,2024-08-08 02:14:00.339+00,17556e875fcfa10ca1c7300732,e5a30cce-46b6-4e4c-bba8-b77cb38ba28c,"{57e069f8-7059-4d2f-83d6-3f16f7aa0938,caa12af6-8d12-42e6-985d-82190eb650ec,f5fb2002-9ed8-4520-99ef-46df7e453375}"
5c755935-af6c-4461-8710-90dd982759b3,t,2024-08-08 02:14:09.984+00,2024-08-08 02:15:39.698+00,93d0fe013e6ae94e2a2bef842f,b717ae66-ddda-43a6-98f9-42f0ed4fd860,"{57e069f8-7059-4d2f-83d6-3f16f7aa0938,caa12af6-8d12-42e6-985d-82190eb650ec,f5fb2002-9ed8-4520-99ef-46df7e453375}"
e19e2ff4-62c0-484d-a163-d1cbcc407188,t,2024-08-08 02:15:06.512+00,2024-08-08 02:17:24.118+00,e5302fa8a6a630e412a07db51a,296fd24f-3e4f-466f-8be5-bc4409fe8a05,"{be766134-111b-4a83-afdd-d6c54596d486,880369a6-6b14-4a6b-b3cb-4aaabc33369a,f5fb2002-9ed8-4520-99ef-46df7e453375}"
7f5a1d97-67dc-48a7-99d9-6fdfa945d7d4,f,2024-08-08 02:20:51.94+00,2024-08-08 02:20:51.94+00,60d6841650dd33e30933d7ba16,88f3e4d5-68d2-472e-a5a8-a432c2c977de,"{be766134-111b-4a83-afdd-d6c54596d486,caa12af6-8d12-42e6-985d-82190eb650ec}"
f45c5d44-78e7-4cca-8955-e64d6b4b6ebf,t,2024-08-08 02:26:13.187+00,2024-08-08 02:27:42.633+00,74730cf2f79d4762ac1f6b601d,4bf537a9-a9b7-43e3-8784-aeaf762b7cff,"{57e069f8-7059-4d2f-83d6-3f16f7aa0938,880369a6-6b14-4a6b-b3cb-4aaabc33369a,f5fb2002-9ed8-4520-99ef-46df7e453375}"
6fde0a67-29d8-4f96-9435-8c65e0d49959,t,2024-08-08 02:28:36.38+00,2024-08-08 02:30:01.333+00,48c38ac9ac2662f4b6e9f378e9,a2c115ff-762d-40fe-ada9-c43d56f12bb2,"{57e069f8-7059-4d2f-83d6-3f16f7aa0938,880369a6-6b14-4a6b-b3cb-4aaabc33369a,f5fb2002-9ed8-4520-99ef-46df7e453375}"
bee3d804-bfc0-4d73-b382-a0c103f277cf,t,2024-08-08 03:00:09.112+00,2024-08-08 03:02:11.35+00,1abdf53fd454da905dc4849501,01764618-7518-4d35-9089-8a07fe8baa57,"{be766134-111b-4a83-afdd-d6c54596d486,caa12af6-8d12-42e6-985d-82190eb650ec,3857b311-0df8-462f-a042-6a560f3528eb}"
89a5a559-7e38-4efb-9aa7-497328505666,t,2024-08-08 02:46:08.289+00,2024-08-08 03:06:13.001+00,aa2428b3fc6a12fd80d58878e2,013e6eda-9ba5-451b-ab29-37ac0ad829c9,"{57e069f8-7059-4d2f-83d6-3f16f7aa0938,caa12af6-8d12-42e6-985d-82190eb650ec,3857b311-0df8-462f-a042-6a560f3528eb}"
